usage_id,customer_id,usage_month,data_used_gb,call_minutes,sms_count
5001,1001,2026-07,1.5,220,45
5002,1002,2026-07,18.2,850,320
5003,1003,2026-07,6.5,420,150
5004,1004,2026-07,55.4,1700,1050
5005,1005,2026-07,1.2,180,60
5006,1006,2026-07,22.5,920,410
5007,1007,2026-07,8.7,680,280
5008,1008,2026-07,48.2,1400,890
5009,1009,2026-07,3.8,350,120
5010,1010,2026-07,105.5,3200,2100
5011,1011,2026-07,1.8,250,80
5012,1012,2026-07,15.6,720,350
5013,1013,2026-07,9.2,700,290
5014,1014,2026-07,85.4,2500,1750
5015,1015,2026-07,4.5,510,190
5016,1016,2026-07,52.8,1550,1100
5017,1017,2026-07,7.9,620,250
5018,1018,2026-07,19.5,950,450
5019,1019,2026-07,2.3,290,90
5020,1020,2026-07,110.2,3500,2250
